Identifier	Name	Type	Category
DB01170	Guanethidine	Drug	Sympatholytics, Antihypertensive Agents, Adrenergic Agents
DB01174	Phenobarbital	Drug	Anticonvulsants, GABA Modulators, Hypnotics and Sedatives, Excitatory Amino Acid Antagonists
DB01173	Orphenadrine	Drug	Antiparkinson Agents, Parasympatholytics, Muscle Relaxants, Central, Antidyskinetics, Muscarinic Antagonists, Muscle Relaxants, Skeletal
DB01172	Kanamycin	Drug	Anti-Bacterial Agents, Aminoglycosides, Protein Synthesis Inhibitors
DB01171	Moclobemide	Drug	Monoamine Oxidase Inhibitors, Antidepressive Agents
DB01178	Chlormezanone	Drug	Antipsychotic Agents, Muscle Relaxants, Central, Anti-Anxiety Agents, Benzodiazepines
DB01177	Idarubicin	Drug	Antibiotics, Antibiotics, Antineoplastic
DB01176	Cyclizine	Drug	Histamine H1 Antagonists, Antiemetics
DB01175	Escitalopram	Drug	Antidepressive Agents, Second-Generation, Serotonin Uptake Inhibitors
DB01179	Podofilox	Drug	Antineoplastic Agents, Phytogenic, Tubulin Modulators, Antimitotic Agents, Keratolytic Agents
DB00701	Amprenavir	Drug	Antibiotics, Antitubercular, Anti-HIV Agents, HIV Protease Inhibitors
DB00702	Icodextrin	Drug	Diuretics, Osmotic, Dialysis Solutions
DB00700	Eplerenone	Drug	Mineralocorticoid Receptor Antagonists
DB00705	Delavirdine	Drug	Reverse Transcriptase Inhibitors
DB00706	Tamsulosin	Drug	Adrenergic alpha-1 Receptor Antagonists
DB00703	Methazolamide	Drug	
DB00704	Naltrexone	Drug	Narcotic Antagonists, Appetite Depressants, Central Nervous System Depressants, Alcohol Antagonists
DB00709	Lamivudine	Drug	Reverse Transcriptase Inhibitors, Anti-HIV Agents
DB00707	Porfimer	Drug	Photosensitizing Agents, Antineoplastic Agents, Dermatologic Agents
DB00708	Sufentanil	Drug	Analgesics, Opioid, Narcotics, Anesthetics, Intravenous, Adjuvants, Anesthesia
DB00712	Flurbiprofen	Drug	Anti-Inflammatory Agents, Non-Steroidal, Cyclooxygenase Inhibitors, Analgesics
DB00713	Oxacillin	Drug	Penicillins
DB00710	Ibandronate	Drug	Bone Density Conservation Agents, Antiresorptives, Bisphosphonates, Antihypocalcemic Agents
DB00711	Diethylcarbamazine	Drug	Lipoxygenase Inhibitors, Filaricides
DB00716	Nedocromil	Drug	Anti-Allergic Agents, Anti-Asthmatic Agents, Anti-Inflammatory Agents
DB00717	Norethindrone	Drug	Contraceptives, Oral, Synthetic
DB00714	Apomorphine	Drug	Antiparkinson Agents, Antidyskinetics, Dopamine Agonists
DB00715	Paroxetine	Drug	Antidepressive Agents, Serotonin Uptake Inhibitors
DB00718	Adefovir Dipivoxil	Drug	Antiviral Agents, Reverse Transcriptase Inhibitors
DB00719	Azatadine	Drug	Histamine H1 Antagonists
DB00720	Clodronate	Drug	Bone Density Conservation Agents, Bisphosphonates, Antihypocalcemic Agents
DB00723	Methoxamine	Drug	Sympathomimetics, Vasoconstrictor Agents, Adrenergic alpha-1 Receptor Agonists
DB00724	Imiquimod	Drug	Adjuvants, Immunologic, Antineoplastic Agents, Interferon Inducers
DB00721	Procaine	Drug	Anesthetics, Local
DB00722	Lisinopril	Drug	
DB00727	Nitroglycerin	Drug	Vasodilator Agents, Explosive Agents
DB00728	Rocuronium	Drug	Muscle Relaxants, Skeletal
DB00725	Homatropine Methylbromide	Drug	Antispasmodics, Muscarinic Antagonists
DB00726	Trimipramine	Drug	Adrenergic Uptake Inhibitors, Antidepressive Agents, Tricyclic, Antidepressive Agents
DB06439	Tyloxapol	Drug	Surface-Active Agents, Detergents
DB05109	Trabectedin	Drug	Antineoplastic Agents, Alkylating
DB00770	Alprostadil	Drug	
DB00771	Clidinium	Drug	Cholinergic Antagonists, Antispasmodics, Muscarinic Antagonists, Anti-Arrhythmia Agents
DB01622	Thioproperazine	Drug	Phenothiazines
DB00774	Hydroflumethiazide	Drug	Sodium Chloride Symporter Inhibitors, Diuretics, Antihypertensive Agents
DB00775	Tirofiban	Drug	Platelet Aggregation Inhibitors, Fibrinolytic Agents
DB01621	Pipotiazine	Drug	Phenothiazines
DB01620	Pheniramine	Drug	Histamine H1 Antagonists, Anti-Allergic Agents, Antipruritics
DB00772	Malathion	Drug	Cholinesterase Inhibitors, Insecticides
DB00773	Etoposide	Drug	Antineoplastic Agents, Phytogenic
DB01626	Pargyline	Drug	
DB00778	Roxithromycin	Drug	Macrolides
DB00779	Nalidixic Acid	Drug	Anti-Bacterial Agents
DB01625	Isopropamide	Drug	
DB01624	Zuclopenthixol	Drug	Antipsychotic Agents, Dopamine Antagonists
DB00776	Oxcarbazepine	Drug	Anticonvulsants
DB00777	Propiomazine	Drug	Histamine Antagonists, Antiemetics, Hypnotics and Sedatives
DB01623	Thiothixene	Drug	Antipsychotic Agents, Thioxanthenes, Dopamine Antagonists
DB02959	Oxitriptan	Drug	Antidepressive Agents, Second-Generation
DB01628	Etoricoxib	Drug	
DB01627	Lincomycin	Drug	Anti-Bacterial Agents, Antibiotics, Protein Synthesis Inhibitors
DB00781	Polymyxin B Sulfate	Drug	Anti-Bacterial Agents
DB00782	Propantheline	Drug	Antispasmodics, Muscarinic Antagonists, Anti-Ulcer Agents
DB00780	Phenelzine	Drug	Monoamine Oxidase Inhibitors, Antidepressive Agents
DB00301	Flucloxacillin	Drug	Anti-Bacterial Agents, Penicillins
DB00785	Cryptenamine	Drug	
DB00302	Tranexamic Acid	Drug	Antifibrinolytic Agents
DB00786	Marimastat	Drug	Enzyme Inhibitors
DB00783	Estradiol	Drug	Contraceptive Agents, Estrogens, Anti-menopausal Agents
DB00300	Tenofovir	Drug	Reverse Transcriptase Inhibitors, Anti-HIV Agents
DB00784	Mefenamic acid	Drug	Anti-Inflammatory Agents, Non-Steroidal, Cyclooxygenase Inhibitors
DB00305	Mitomycin	Drug	Cross-Linking Reagents, Nucleic Acid Synthesis Inhibitors, Antibiotics, Antineoplastic, Alkylating Agents
DB00789	Gadopentetate dimeglumine	Drug	Contrast Media
DB00306	Talbutal	Drug	
DB00787	Aciclovir	Drug	Nucleic Acids, Nucleotides, and Nucleosides, Antiviral Agents
DB00303	Ertapenem	Drug	Anti-Bacterial Agents
DB00304	Desogestrel	Drug	Contraceptives, Oral, Synthetic, Progestins
DB00788	Naproxen	Drug	
DB00309	Vindesine	Drug	Antineoplastic Agents, Phytogenic, Tubulin Modulators
DB00307	Bexarotene	Drug	
DB00308	Ibutilide	Drug	Anti-Arrhythmia Agents
DB00792	Tripelennamine	Drug	Anti-Allergic Agents, Histamine Antagonists
DB00793	Haloprogin	Drug	Antifungal Agents
DB00790	Perindopril	Drug	Angiotensin-Converting Enzyme Inhibitors, Antihypertensive Agents
DB00791	Uracil mustard	Drug	
DB00796	Candesartan	Drug	Angiotensin II Type 1 Receptor Blockers, Angiotensin Receptor Antagonists, Antihypertensive Agents
DB00312	Pentobarbital	Drug	GABA Modulators, Hypnotics and Sedatives, Adjuvants, Anesthesia, Barbiturates
DB00797	Tolazoline	Drug	Vasodilator Agents, Adrenergic alpha-Antagonists, Antihypertensive Agents
DB00313	Valproic Acid	Drug	Enzyme Inhibitors, Anticonvulsants, GABA Agents, Antimanic Agents
DB00310	Chlorthalidone	Drug	Sodium Chloride Symporter Inhibitors, Diuretics, Antihypertensive Agents
DB00794	Primidone	Drug	Anticonvulsants, Barbiturates
DB00795	Sulfasalazine	Drug	Anti-Inflammatory Agents, Non-Steroidal, Sulfonamides, Antirheumatic Agents, Anti-Infective Agents, Gastrointestinal Agents
DB00316	Acetaminophen	Drug	Analgesics, Non-Narcotic, Antipyretics
DB00317	Gefitinib	Drug	
DB00798	Gentamicin	Drug	Aminoglycosides
DB00314	Capreomycin	Drug	
DB00799	Tazarotene	Drug	Prodrugs, Teratogens, Keratolytic Agents, Dermatologic Agents
DB00315	Zolmitriptan	Drug	Serotonin 5-HT1 Receptor Agonists, Serotonin Receptor Agonists, Serotonin Antagonists, Anti-migraine Agents
DB00318	Codeine	Drug	Antitussive Agents, Analgesics, Opioid, Narcotics
DB00319	Piperacillin	Drug	Anti-Bacterial Agents, Penicillins
DB00320	Dihydroergotamine	Drug	Analgesics, Non-Narcotic, Vasoconstrictor Agents, Dopamine Agonists, Anti-migraine Agents
DB00323	Tolcapone	Drug	Antidyskinetics
DB00324	Fluorometholone	Drug	Anti-Allergic Agents, Glucocorticoids, Anti-Inflammatory Agents
DB00321	Amitriptyline	Drug	Analgesics, Non-Narcotic, Adrenergic Uptake Inhibitors, Antidepressive Agents, Tricyclic
DB00322	Floxuridine	Drug	Antineoplastic Agents, Antimetabolites, Antineoplastic
DB00327	Hydromorphone	Drug	Analgesics, Opioid, Narcotics
DB00328	Indomethacin	Drug	Anti-Inflammatory Agents, Non-Steroidal, Gout Suppressants, Cyclooxygenase Inhibitors, Cardiovascular Agents, Tocolytic Agents
DB00325	Nitroprusside	Drug	
DB00326	Calcium Gluceptate	Drug	Electrolyte replenisher, Antihypermagnesemic Agents, Supplements, Antihypocalcemic Agents
DB01656	Roflumilast	Drug	
DB00729	Diphemanil Methylsulfate	Drug	
DB00730	Thiabendazole	Drug	Anthelmintics
DB00731	Nateglinide	Drug	Hypoglycemic Agents, Meglitinides
DB00734	Risperidone	Drug	Antipsychotic Agents, Serotonin Antagonists, Dopamine Antagonists
DB00735	Naftifine	Drug	
DB00732	Atracurium	Drug	
DB00733	Pralidoxime	Drug	Cholinesterase Reactivators
DB00738	Pentamidine	Drug	Antiprotozoal Agents, Trypanocidal Agents, Antifungal Agents
DB00739	Hetacillin	Drug	Penicillins
DB00736	Esomeprazole	Drug	Histamine Antagonists, Proton Pump Inhibitors
DB00737	Meclizine	Drug	Histamine H1 Antagonists, Anti-Allergic Agents, Histamine Antagonists, Antiemetics
DB00741	Hydrocortisone	Drug	Anti-Inflammatory Agents
DB00742	Mannitol	Drug	Diuretics, Osmotic, Sweetening Agents
DB00740	Riluzole	Drug	
DB00745	Modafinil	Drug	Neuroprotective Agents, Central Nervous System Stimulants, Appetite Depressants, Stimulants
DB00746	Deferoxamine	Drug	Siderophores, Chelating Agents
DB00743	Gadobenate Dimeglumine	Drug	Contrast Media
DB00744	Zileuton	Drug	Anti-Inflammatory Agents, Non-Steroidal, Leukotriene Antagonists, Lipoxygenase Inhibitors
DB00749	Etodolac	Drug	Anti-Inflammatory Agents, Non-Steroidal, Cyclooxygenase 2 Inhibitors
DB00747	Scopolamine	Drug	Adjuvants, Antispasmodics, Muscarinic Antagonists
DB00748	Carbinoxamine	Drug	Histamine H1 Antagonists, Histamine Antagonists
DB01600	Tiaprofenic acid	Drug	Anti-Inflammatory Agents, Non-Steroidal
DB00752	Tranylcypromine	Drug	Antidepressive Agents
DB00753	Isoflurane	Drug	Anesthetics, Inhalation, Anesthetics
DB00750	Prilocaine	Drug	Anesthetics, Local
DB00751	Epinastine	Drug	Histamine H1 Antagonists, Histamine Antagonists, Ophthalmics
DB01604	Pivampicillin	Drug	Anti-Bacterial Agents, Penicillins
DB00756	Hexachlorophene	Drug	Anti-Infective Agents
DB01603	Meticillin	Drug	Anti-Bacterial Agents, Penicillins
DB00757	Dolasetron	Drug	Serotonin Antagonists, Antiemetics
DB01602	Bacampicillin	Drug	Penicillins
DB00754	Ethotoin	Drug	Anticonvulsants
DB00755	Tretinoin	Drug	Antineoplastic Agents, Keratolytic Agents
DB01601	Lopinavir	Drug	Anti-HIV Agents, HIV Protease Inhibitors
DB01608	Propericiazine	Drug	Phenothiazines
DB01607	Ticarcillin	Drug	Anti-Bacterial Agents, Penicillins
DB00758	Clopidogrel	Drug	Platelet Aggregation Inhibitors
DB01606	Tazobactam	Drug	
DB00759	Tetracycline	Drug	Anti-Bacterial Agents, Antiprotozoal Agents, Tetracyclines, Protein Synthesis Inhibitors
DB01605	Pivmecillinam	Drug	Anti-Bacterial Agents, Anti-Infective Agents, Urinary, Penicillins
DB01609	Deferasirox	Drug	Iron Chelating Agents
DB00760	Meropenem	Drug	Anti-Bacterial Agents
DB01611	Hydroxychloroquine	Drug	Enzyme Inhibitors, Antirheumatic Agents, Antimalarials
DB00763	Methimazole	Drug	Antithyroid Agents
DB00764	Mometasone	Drug	
DB01610	Valganciclovir	Drug	Antiviral Agents
DB00761	Potassium Chloride	Drug	
DB00762	Irinotecan	Drug	Antineoplastic Agents, Phytogenic, Prodrugs, Topoisomerase I Inhibitors, Radiation-Sensitizing Agents
DB01615	Aceprometazine	Drug	Histamine Antagonists, Hypnotics and Sedatives
DB01614	Acepromazine	Drug	Antipsychotic Agents, Hypnotics and Sedatives, Dopamine Antagonists
DB00768	Olopatadine	Drug	Histamine H1 Antagonists, Histamine Antagonists
DB01613	Erythrityl Tetranitrate	Drug	Vasodilator Agents
DB00765	Metyrosine	Drug	Enzyme Inhibitors
DB01612	Amyl Nitrite	Drug	Vasodilator Agents
DB00766	Clavulanate	Drug	Enzyme Inhibitors, Anti-Bacterial Agents
DB01619	Phenindamine	Drug	Histamine H1 Antagonists, Histamine Antagonists
DB01618	Molindone	Drug	Antipsychotic Agents
DB00769	Hydrocortamate	Drug	Corticosteroids, Anti-Inflammatory Agents
DB01616	Alverine	Drug	Parasympatholytics, Antispasmodics
DB00370	Mirtazapine	Drug	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic
DB00371	Meprobamate	Drug	Anticonvulsants, Muscle Relaxants, Central, Anti-Anxiety Agents, Hypnotics and Sedatives
DB01222	Budesonide	Drug	Corticosteroids
DB00374	Treprostinil	Drug	Anticoagulants, Antithrombins
DB01221	Ketamine	Drug	Analgesics, Anesthetics, Anesthetics, Dissociative, Excitatory Amino Acid Antagonists
DB00375	Colestipol	Drug	Hypolipidemic Agents, Anion Exchange Resins
DB01220	Rifaximin	Drug	Anti-Infective Agents, Gastrointestinal Agents
DB00373	Timolol	Drug	Adrenergic beta-Antagonists, Antihypertensive Agents, Anti-Arrhythmia Agents
DB00378	Dydrogesterone	Drug	Progestins, Progesterones
DB01226	Mivacurium	Drug	
DB01225	Enoxaparin	Drug	Anticoagulants, Fibrinolytic Agents, Heparins
DB00379	Mexiletine	Drug	Voltage-Gated Sodium Channel Blockers, Anti-Arrhythmia Agents
DB00376	Trihexyphenidyl	Drug	Antiparkinson Agents, Antidyskinetics, Muscarinic Antagonists
DB01224	Quetiapine	Drug	Antipsychotic Agents
DB00377	Palonosetron	Drug	
DB01223	Aminophylline	Drug	Cardiotonic Agents, Phosphodiesterase Inhibitors, Purinergic P1 Receptor Antagonists, Muscle Relaxants, Respiratory, Bronchodilator Agents
DB01229	Paclitaxel	Drug	Antineoplastic Agents, Phytogenic, Tubulin Modulators
DB01228	Encainide	Drug	Voltage-Gated Sodium Channel Blockers, Sodium Channel Blockers, Anti-Arrhythmia Agents
DB01227	Levomethadyl Acetate	Drug	Analgesics, Opioid, Narcotics
DB00381	Amlodipine	Drug	Vasodilator Agents, Calcium Channel Blockers, Antianginal Agents, Antihypertensive Agents
DB00380	Dexrazoxane	Drug	Antineoplastic Agents, Cardiovascular Agents, Chelating Agents
DB00385	Valrubicin	Drug	
DB01233	Metoclopramide	Drug	Antiemetics, Prokinetic Agents, Dopamine Antagonists
DB01232	Saquinavir	Drug	HIV Protease Inhibitors
DB01231	Diphenidol	Drug	Antiemetics
DB00383	Oxyphencyclimine	Drug	Cholinergic Antagonists, Antispasmodics
DB00384	Triamterene	Drug	Diuretics, Epithelial Sodium Channel Blockers
DB00389	Carbimazole	Drug	Antithyroid Agents
DB01237	Bromodiphenhydramine	Drug	Histamine Antagonists
DB01236	Sevoflurane	Drug	Anesthetics, Inhalation, Platelet Aggregation Inhibitors
DB01235	L-DOPA	Drug	Antiparkinson Agents, Antidyskinetics, Dopamine Agents
DB00387	Procyclidine	Drug	Antiparkinson Agents, Antidyskinetics, Muscarinic Antagonists
DB01234	Dexamethasone	Drug	Antineoplastic Agents, Hormonal, Glucocorticoids, Anti-Inflammatory Agents, Antiemetics
DB00388	Phenylephrine	Drug	Cardiotonic Agents, Mydriatics, Sympathomimetics, Vasoconstrictor Agents, Adrenergic alpha-1 Receptor Agonists, Nasal Decongestants
DB01239	Chlorprothixene	Drug	Antipsychotic Agents, Dopamine Antagonists
DB01238	Aripiprazole	Drug	Antipsychotic Agents
DB00392	Ethopropazine	Drug	Histamine Antagonists, Adrenergic Antagonists, Antidyskinetics, Muscarinic Antagonists
DB01240	Epoprostenol	Drug	Platelet Aggregation Inhibitors, Antihypertensive Agents
DB00393	Nimodipine	Drug	Vasodilator Agents, Calcium Channel Blockers, Antihypertensive Agents
DB00390	Digoxin	Drug	Cardiotonic Agents, Enzyme Inhibitors, Anti-Arrhythmia Agents
DB00391	Sulpiride	Drug	Antipsychotic Agents, Antidepressive Agents, Second-Generation, Antidepressive Agents, Dopamine Antagonists
DB01244	Bepridil	Drug	Vasodilator Agents, Calcium Channel Blockers, Antihypertensive Agents, Anti-Arrhythmia Agents
DB00396	Progesterone	Drug	Contraceptive Agents, Progestins
DB00397	Phenylpropanolamine	Drug	Adrenergic alpha-Agonists, Appetite Depressants, Sympathomimetics, Nasal Decongestants
DB01243	Chloroxine	Drug	Anti-seborrheic Agents
DB01242	Clomipramine	Drug	Antidepressive Agents, Tricyclic, Serotonin Uptake Inhibitors
DB00394	Beclomethasone	Drug	Corticosteroids, Anti-Arrhythmia Agents
DB00395	Carisoprodol	Drug	Neuromuscular Agents, Muscle Relaxants, Central, Muscle Relaxants, Skeletal
DB01241	Gemfibrozil	Drug	Hypolipidemic Agents
DB01248	Docetaxel	Drug	Antineoplastic Agents
DB01247	Isocarboxazid	Drug	Monoamine Oxidase Inhibitors, Antidepressive Agents
DB00398	Sorafenib	Drug	Antineoplastic Agents
DB01246	Alimemazine	Drug	Antipruritics
DB01245	Decamethonium	Drug	Neuromuscular Depolarizing Agents
DB00399	Zoledronate	Drug	Bone Density Conservation Agents, Antiresorptives, Bisphosphonates, Antihypocalcemic Agents
DB01249	Iodixanol	Drug	Contrast Media
DB01251	Gliquidone	Drug	Antidiabetic Agents
DB01250	Olsalazine	Drug	
DB01255	Lisdexamfetamine	Drug	
DB01254	Dasatinib	Drug	
DB01253	Ergonovine	Drug	Oxytocics
DB01252	Mitiglinide	Drug	Hypoglycemic Agents
DB01259	Lapatinib	Drug	Protein Kinase Inhibitors, Antineoplastic Agents
DB01257	Eculizumab	Drug	
DB01256	Retapamulin	Drug	Anti-Bacterial Agents
DB00330	Ethambutol	Drug	Antitubercular Agents
DB00331	Metformin	Drug	Antidiabetic Agents
DB00334	Olanzapine	Drug	Antipsychotic Agents
DB00335	Atenolol	Drug	Sympatholytics, Antihypertensive Agents, Adrenergic beta-1 Receptor Antagonists, Anti-Arrhythmia Agents
DB00332	Ipratropium bromide	Drug	Cholinergic Antagonists, Antispasmodics, Muscarinic Antagonists, Bronchodilator Agents
DB00333	Methadone	Drug	Antitussive Agents, Analgesics, Opioid, Narcotics
DB00338	Omeprazole	Drug	Enzyme Inhibitors, Proton Pump Inhibitors, Anti-Ulcer Agents
DB00339	Pyrazinamide	Drug	Antitubercular Agents
DB00336	Nitrofural	Drug	Anti-Infective Agents
DB00337	Pimecrolimus	Drug	Anti-Inflammatory Agents, Non-Steroidal, Immunosuppressive Agents, Dermatologic Agents
DB00341	Cetirizine	Drug	Histamine H1 Antagonists, Non-Sedating, Anti-Allergic Agents, Histamine Antagonists
DB00340	Metixene	Drug	
DB00345	Aminohippurate	Drug	Indicators and Reagents, Diagnostic Agents
DB00346	Alfuzosin	Drug	Antihypertensive Agents, Adrenergic alpha-1 Receptor Antagonists
DB00343	Diltiazem	Drug	
DB00344	Protriptyline	Drug	Adrenergic Uptake Inhibitors, Antidepressive Agents, Tricyclic
DB00349	Clobazam	Drug	Anticonvulsants, Benzodiazepines
DB00347	Trimethadione	Drug	Anticonvulsants
DB00348	Nitisinone	Drug	
DB01200	Bromocriptine	Drug	Antiparkinson Agents, Antidyskinetics, Hormone Antagonists, Dopamine Agonists
DB00352	Tioguanine	Drug	Antimetabolites, Antineoplastic
DB04711	Iodipamide	Drug	Contrast Media
DB00353	Methylergometrine	Drug	Oxytocics
DB00350	Minoxidil	Drug	Vasodilator Agents, Antihypertensive Agents
DB00351	Megestrol acetate	Drug	Appetite Stimulants, Antineoplastic Agents, Hormonal
DB00356	Chlorzoxazone	Drug	Muscle Relaxants, Central
DB01204	Mitoxantrone	Drug	Analgesics, Antineoplastic Agents
DB01203	Nadolol	Drug	
DB00357	Aminoglutethimide	Drug	Aromatase Inhibitors, Antineoplastic Agents, Hormonal
DB01202	Levetiracetam	Drug	Anticonvulsants, Nootropic Agents
DB00354	Buclizine	Drug	Cholinergic Antagonists, Histamine Antagonists
DB01201	Rifapentine	Drug	Antibiotics, Antitubercular, Antimycobacterials, Leprostatic Agents
DB00355	Aztreonam	Drug	Anti-Bacterial Agents
DB01208	Sparfloxacin	Drug	
DB01207	Ridogrel	Drug	Enzyme Inhibitors, Platelet Aggregation Inhibitors, Thrombolytic Agents, Gastrointestinal Agents
DB01206	Lomustine	Drug	Antineoplastic Agents, Alkylating
DB00358	Mefloquine	Drug	Antimalarials
DB00359	Sulfadiazine	Drug	Coccidiostats, Antiprotozoal Agents, Anti-Infective Agents
DB01205	Flumazenil	Drug	Antidotes, GABA Modulators
DB01209	Dezocine	Drug	Analgesics, Opioid
DB00360	Tetrahydrobiopterin	Drug	Dietary Supplements, Supplements
DB01211	Clarithromycin	Drug	Anti-Bacterial Agents, Macrolides, Protein Synthesis Inhibitors
DB00363	Clozapine	Drug	Antipsychotic Agents, Serotonin Antagonists, GABA Antagonists
DB00364	Sucralfate	Drug	
DB01210	Levobunolol	Drug	Sympatholytics, EENT Preparations, Adrenergic beta-Antagonists
DB00361	Vinorelbine	Drug	Antineoplastic Agents, Phytogenic
DB00362	Anidulafungin	Drug	Antifungal Agents
DB02546	Vorinostat	Drug	Antineoplastic Agents, Histone Deacetylase Inhibitors
DB01215	Estazolam	Drug	
DB00367	Levonorgestrel	Drug	Contraceptive Agents, Contraceptives, Oral, Synthetic, Contraceptive Agents, Female
DB01214	Metipranolol	Drug	Sympatholytics, Adrenergic beta-Antagonists, Antihypertensive Agents, Anti-Arrhythmia Agents
DB00368	Norepinephrine	Drug	Adrenergic alpha-Agonists, Sympathomimetics, Vasoconstrictor Agents
DB01213	Fomepizole	Drug	Antidotes
DB01212	Ceftriaxone	Drug	Anti-Bacterial Agents, Cephalosporins
DB00366	Doxylamine	Drug	Histamine H1 Antagonists, Antiemetics
DB01219	Dantrolene	Drug	Muscle Relaxants, Central
DB01218	Halofantrine	Drug	Antiprotozoal Agents, Antimalarials
DB00369	Cidofovir	Drug	Antineoplastic Agents, Antiviral Agents, Anti-HIV Agents, Radiation-Sensitizing Agents
DB01217	Anastrozole	Drug	Aromatase Inhibitors, Antineoplastic Agents, Hormonal
DB01216	Finasteride	Drug	5-alpha Reductase Inhibitors, Skin and Mucous Membrane Agents
DB04339	Carbocisteine	Drug	
DB05679	Ustekinumab	Drug	
DB02187	Equilin	Drug	
DB01262	Decitabine	Drug	Enzyme Inhibitors, Teratogens, Antimetabolites, Antineoplastic
DB01261	Sitagliptin	Drug	Dipeptidyl-Peptidase IV Inhibitors
DB01260	Desonide	Drug	
DB01266	Kunecatechins	Drug	
DB01265	Telbivudine	Drug	
DB01264	Darunavir	Drug	HIV Protease Inhibitors
DB01263	Posaconazole	Drug	Antifungal Agents
DB01269	Panitumumab	Drug	
DB01268	Sunitinib	Drug	
DB01267	Paliperidone	Drug	Antipsychotic Agents
DB01273	Varenicline	Drug	Nicotinic Agonists
DB01272	Alglucosidase alfa	Drug	Enzyme Replacement Agents
DB01271	Idursulfase	Drug	Enzyme Replacement Agents
DB01270	Ranibizumab	Drug	Ophthalmics
DB01277	Mecasermin	Drug	
DB01276	Exenatide	Drug	Hypoglycemic Agents
DB01275	Hydralazine	Drug	
DB01274	Arformoterol	Drug	Bronchodilator Agents, Adrenergic beta-2 Receptor Agonists
DB05630	Sodium stibogluconate	Drug	Antineoplastic Agents
DB01279	Galsulfase	Drug	Enzyme Replacement Agents
DB01278	Pramlintide	Drug	
DB04786	Suramin	Drug	Trypanocidal Agents, Antineoplastic Agents, Antinematodal Agents
DB01280	Nelarabine	Drug	
DB01284	Cosyntropin	Drug	Hormones, Diagnostic Agents
DB01283	Lumiracoxib	Drug	Cyclooxygenase 2 Inhibitors
DB01282	Carbetocin	Drug	Anti-tocolytic Agents, Oxytocics, Delayed-Action Preparations, Labor Induction Agents
DB01281	Abatacept	Drug	Immunosuppressive Agents, Antirheumatic Agents
DB01288	Fenoterol	Drug	Sympathomimetics, Bronchodilator Agents, Adrenergic beta-2 Receptor Agonists, Tocolytic Agents
DB01285	Corticotropin	Drug	Hormones, Diagnostic Agents
DB04794	Bifonazole	Drug	Antifungal Agents
DB01289	Glisoxepide	Drug	
DB01291	Pirbuterol	Drug	Cardiotonic Agents, Bronchodilator Agents, Adrenergic beta-2 Receptor Agonists
DB01295	Bevantolol	Drug	Adrenergic beta-1 Receptor Antagonists
DB01294	Bismuth Subsalicylate	Drug	Antidiarrheals
DB01299	Sulfadoxine	Drug	
DB01298	Sulfacytine	Drug	Sulfonamides
DB01297	Practolol	Drug	Adrenergic beta-1 Receptor Antagonists, Anti-Arrhythmia Agents
DB01296	Glucosamine	Drug	
DB00808	Indapamide	Drug	Sodium Chloride Symporter Inhibitors, Diuretics, Antihypertensive Agents
DB00809	Tropicamide	Drug	Mydriatics, Muscarinic Antagonists, Diagnostic Agents
DB00806	Pentoxifylline	Drug	Radiation-Protective Agents, Hemorrheologic Agents, Phosphodiesterase Inhibitors, Vasodilator Agents, Platelet Aggregation Inhibitors, Free Radical Scavengers, Hematologic Agents
DB00807	Proparacaine	Drug	Anesthetics, Local
DB06594	Agomelatine	Drug	Antidepressive Agents
DB05265	Ecabet	Drug	
DB05266	Ibudilast	Drug	Phosphodiesterase Inhibitors, Vasodilator Agents, Platelet Aggregation Inhibitors, Bronchodilator Agents
DB06590	Ceftaroline fosamil	Drug	Cephalosporins, Antibiotics
DB05260	Gallium nitrate	Drug	
DB05269	AST-120	Drug	
DB00811	Ribavirin	Drug	Antiviral Agents, Antimetabolites
DB00812	Phenylbutazone	Drug	Anti-Inflammatory Agents, Non-Steroidal
DB00810	Biperiden	Drug	Antiparkinson Agents, Parasympatholytics, Antidyskinetics, Muscarinic Antagonists
DB00815	Sodium lauryl sulfate	Drug	Surface-Active Agents
DB00816	Orciprenaline	Drug	Sympathomimetics, Bronchodilator Agents, Adrenergic beta-2 Receptor Agonists, Tocolytic Agents
DB00813	Fentanyl	Drug	Analgesics, Opioid, Narcotics, Anesthetics, Intravenous, Adjuvants, Adjuvants, Anesthesia
DB00814	Meloxicam	Drug	Anti-Inflammatory Agents, Non-Steroidal, Cyclooxygenase Inhibitors
DB00819	Acetazolamide	Drug	Anticonvulsants, Carbonic Anhydrase Inhibitors, Diuretics
DB00817	Rosoxacin	Drug	Anti-Infective Agents
DB00818	Propofol	Drug	Anesthetics, Intravenous, Hypnotics and Sedatives
DB05275	transdermal testosterone gel	Drug	
DB05276	hepatitis B immune globulin	Drug	
DB05271	Rotigotine	Drug	Antidyskinetics
DB05273	Samarium (153sm) lexidronam	Drug	
DB05278	inhaled insulin	Drug	
DB00822	Disulfiram	Drug	Enzyme Inhibitors, Alcohol Deterrents
DB00823	Ethynodiol	Drug	Contraceptives, Oral, Synthetic
DB00820	Tadalafil	Drug	Vasodilator Agents, Phosphodiesterase 5 Inhibitors
DB00821	Carprofen	Drug	Anti-Inflammatory Agents, Non-Steroidal, Photosensitizing Agents
DB00826	Natamycin	Drug	Macrolides
DB00827	Cinoxacin	Drug	
